,dataset,SR,SR_time,TPOT,TPOTSR,AK,AKSR,LR,timeTPOT,timeTPOTSR,timeAK,timeAKSR,meanguess,generations,function_set,epochs,max_TPOT_time,
66,0-guo1ys.csv,53.8234394,344.1271117,29.60175825,31.00126663,37.17964612,35.74789614,42.44230494,825.7932706,867.0818667,4811.647478,2463.967175,124.3233197,50,"['add', 'sub', 'mul', 'div']",,10,
67,0-guo1ys.csv,52.71470671,420.191077,42.12164725,29.49380463,37.56805933,36.53829656,42.28521985,688.7657092,673.1757588,3385.584734,3012.732787,123.5246291,50,"['add', 'sub', 'mul', 'div']",,10,
68,0-guo1ys.csv,51.98935314,268.0596287,281.6771008,29.77110566,38.09794533,35.98247189,52.90219991,760.3868535,956.2221379,2963.339074,5042.919862,123.2006609,50,"['add', 'sub', 'mul', 'div']",,10,
69,0-guo1ys.csv,49.67610488,300.8821445,42.33224044,36.31000994,38.23221508,36.01626054,42.21373128,695.7849936,640.8148417,2615.223902,1989.514213,122.2279026,50,"['add', 'sub', 'mul', 'div']",,10,
70,0-guo1ys.csv,58.78140722,286.1139991,29.11076864,31.41134844,37.13307402,36.4046468,41.61759512,921.5441556,711.6773558,5374.836009,3192.369046,123.6059887,50,"['add', 'sub', 'mul', 'div']",,10,
71,0-guo1ys.csv,47.16737426,242.9977109,37.49004176,32.6996375,38.09008817,35.54933877,41.64997984,639.9838963,615.7749453,3052.121557,2384.685183,122.6537209,50,"['add', 'sub', 'mul', 'div']",,10,
72,0-guo1ys.csv,56.94560681,183.1717479,29.23356886,29.13448495,37.24374002,35.24252992,42.44230494,715.0794868,737.6932602,3277.738475,8262.179734,124.3233197,50,"['add', 'sub', 'mul', 'div']",,10,
73,0-guo1ys.csv,52.92354463,474.6070316,29.38497026,29.31620833,37.73290871,34.84079137,41.58714843,754.5316997,870.6612442,4221.924551,4920.251092,122.8053484,50,"['add', 'sub', 'mul', 'div']",,10,
74,0-guo1ys.csv,48.54073062,536.8552005,32.15756703,29.27143366,37.9887832,35.38573297,41.87245857,609.9431791,716.1271448,3955.915556,4817.948636,123.6709157,50,"['add', 'sub', 'mul', 'div']",,10,
75,0-guo1ys.csv,57.96458622,249.8448517,29.38205026,29.50978312,37.13179315,36.00896026,41.84796284,636.874845,703.0876617,4622.523909,3585.189223,123.5321538,50,"['add', 'sub', 'mul', 'div']",,10,
76,0-guo1ys.csv,49.21105854,362.2887852,29.53157719,29.84474952,38.04840079,35.21715252,41.92732436,838.0800359,683.0332572,6506.496665,5963.081151,122.9541353,50,"['add', 'sub', 'mul', 'div']",,10,
77,0-guo1ys.csv,57.65022416,210.1885955,35.71947996,37.193445,37.36654458,33.87635777,41.16263763,674.7506402,867.7843366,2219.835738,5154.370646,121.2189364,50,"['add', 'sub', 'mul', 'div']",,10,
78,0-guo1ys.csv,51.79562352,253.5723331,29.57410651,30.06460514,37.97408117,35.4272797,42.44230494,662.1962266,651.7224226,1763.820369,3035.639019,124.3233197,50,"['add', 'sub', 'mul', 'div']",,10,
79,0-guo1ys.csv,49.80161862,343.2661526,30.4270488,30.70069088,37.25708566,36.4241247,42.74889831,645.9216087,637.5421531,6737.829198,3103.290016,122.8278427,50,"['add', 'sub', 'mul', 'div']",,10,
80,0-guo1ys.csv,56.75333122,355.8958311,34.49518882,29.62752136,37.86783004,37.0545657,42.28521985,686.7300797,730.90259,3753.013124,3503.180644,123.5246291,50,"['add', 'sub', 'mul', 'div']",,10,
